transaction_id,account_id,date,type,amount,transaction_month,risk_flag,day_of_week,week
1,212,2025-07-28,withdrawal,877611,2025-07,1,Monday,31
2,205,2025-01-25,withdrawal,775054,2025-01,1,Saturday,4
3,161,2025-11-13,withdrawal,337704,2025-11,0,Thursday,46
4,131,2025-11-24,withdrawal,170053,2025-11,0,Monday,48
5,243,2025-01-20,deposit,196312,2025-01,0,Monday,4
6,48,2025-06-16,withdrawal,111255,2025-06,0,Monday,25
7,67,2025-10-04,transfer,36447,2025-10,0,Saturday,40
8,288,2025-11-16,transfer,177829,2025-11,0,Sunday,46
9,63,2025-11-13,withdrawal,380774,2025-11,0,Thursday,46
10,217,2025-05-04,transfer,31972,2025-05,0,Sunday,18
11,160,2025-09-29,withdrawal,118633,2025-09,0,Monday,40
12,260,2025-11-09,deposit,329492,2025-11,0,Sunday,45
13,247,2025-02-01,deposit,1781864,2025-02,0,Saturday,5
14,180,2025-02-04,transfer,197707,2025-02,0,Tuesday,6
15,143,2025-07-15,transfer,123572,2025-07,0,Tuesday,29
16,288,2025-11-18,transfer,326689,2025-11,0,Tuesday,47
17,286,2025-11-09,deposit,1282154,2025-11,0,Sunday,45
18,137,2025-04-26,deposit,383359,2025-04,0,Saturday,17
19,159,2024-12-11,withdrawal,378074,2024-12,0,Wednesday,50
20,93,2025-11-09,deposit,1192661,2025-11,0,Sunday,45
21,206,2025-10-28,deposit,302532,2025-10,0,Tuesday,44
22,16,2025-09-05,deposit,1569709,2025-09,0,Friday,36
23,111,2025-07-28,withdrawal,450226,2025-07,0,Monday,31
24,175,2025-05-16,deposit,781057,2025-05,0,Friday,20
25,167,2025-01-20,transfer,317592,2025-01,0,Monday,4
26,27,2025-10-20,deposit,335112,2025-10,0,Monday,43
27,26,2025-04-26,transfer,47772,2025-04,0,Saturday,17
28,227,2025-08-13,transfer,227305,2025-08,0,Wednesday,33
29,227,2025-03-28,withdrawal,296436,2025-03,0,Friday,13
30,263,2025-07-16,deposit,728879,2025-07,0,Wednesday,29
31,57,2025-11-20,withdrawal,721163,2025-11,1,Thursday,47
32,250,2025-05-14,transfer,354769,2025-05,0,Wednesday,20
33,24,2025-10-10,deposit,833927,2025-10,0,Friday,41
34,29,2025-05-11,deposit,433706,2025-05,0,Sunday,19
