transaction_id,account_id,date,type,amount
1,212,2025-07-28,withdrawal,877611
2,205,2025-01-25,withdrawal,775054
3,161,2025-11-13,withdrawal,337704
4,131,2025-11-24,withdrawal,170053
5,243,2025-01-20,deposit,196312
6,48,2025-06-16,withdrawal,111255
7,67,2025-10-04,transfer,36447
8,288,2025-11-16,transfer,177829
9,63,2025-11-13,withdrawal,380774
10,217,2025-05-04,transfer,31972
11,160,2025-09-29,withdrawal,118633
12,260,2025-11-09,deposit,329492
13,247,2025-02-01,deposit,1781864
14,180,2025-02-04,transfer,197707
15,143,2025-07-15,transfer,123572
16,288,2025-11-18,transfer,326689
17,286,2025-11-09,deposit,1282154
18,137,2025-04-26,deposit,383359
19,159,2024-12-11,withdrawal,378074
20,93,2025-11-09,deposit,1192661
21,206,2025-10-28,deposit,302532
22,16,2025-09-05,deposit,1569709
23,111,2025-07-28,withdrawal,450226
24,175,2025-05-16,deposit,781057
25,167,2025-01-20,transfer,317592
26,27,2025-10-20,deposit,335112
27,26,2025-04-26,transfer,47772
28,227,2025-08-13,transfer,227305
29,227,2025-03-28,withdrawal,296436
30,263,2025-07-16,deposit,728879
31,57,2025-11-20,withdrawal,721163
32,250,2025-05-14,transfer,354769
33,24,2025-10-10,deposit,833927
34,29,2025-05-11,deposit,433706
35,109,2025-04-17,deposit,1607561
36,149,2024-12-11,withdrawal,135812
37,255,2025-03-07,transfer,230787
38,67,2025-12-03,withdrawal,568453
39,118,2025-11-15,transfer,297932
40,182,2024-12-29,deposit,837718
41,224,2025-01-16,deposit,969174
42,161,2025-09-27,transfer,230068
43,208,2025-07-09,transfer,340618
44,149,2024-12-18,deposit,854414
45,167,2025-10-20,deposit,1685494
46,236,2025-06-11,transfer,487224
47,46,2025-01-31,withdrawal,895506
48,125,2025-07-01,withdrawal,627476
49,269,2025-05-15,deposit,834982
50,174,2025-03-04,deposit,703495
51,40,2025-02-04,transfer,336992
52,272,2025-06-04,transfer,106661
53,180,2025-11-03,transfer,434364
54,76,2025-02-20,deposit,220596
55,132,2025-10-12,deposit,368853
56,79,2025-03-08,transfer,44506
57,253,2025-09-22,withdrawal,801093
58,297,2025-09-23,withdrawal,724220
